ano,norte_num,norte_percentagem,centro_num,centro_perc,sul_num,sul_perc
2013,16723.3,87.7,26266.4,83.00,21878,85.20
2014,17091.9,88.4,31998.2,84.3,21020,86.70
2015,17638.0,88.80,28002.8,86.3,21473,84.80
2016,17705.5,89.3,26842.2,86.6,21534,83.20
2017,17857.9,89.00,26742,84.70,21452,86.30
2018,17617.8,90.3,29332.9,86.70,21417,87.80
2019,20404.3,90.8,28077.9,86.70,21448,86.90
2020,15719.6,81.9,25273.8,76.80,21216,76.20
2021,15719.6,82.4,25462.2,78.80,22331,76.80
2022,11171.6,85.1,19466.7,81.80,14507,81.00
